feature,gain
rolling_amt_mean_24h,10637.505859375
amt_gt_p95_legit,7700.279296875
log1p_amt,4736.04248046875
rolling_amt_std_24h,3102.727783203125
rolling_count_1h,970.8916625976562
is_night,890.6582641601562
hour_cos,675.3773803710938
te_category,647.2127075195312
hour,554.8490600585938
te_job,510.06689453125
rolling_amt_mean_7d,490.2016906738281
rolling_amt_std_7d,483.7470703125
rolling_amt_std_1h,478.8254089355469
te_merchant,419.7874450683594
hour_sin,330.00701904296875
rolling_amt_sum_24h,251.0552215576172
rolling_count_24h,234.07192993164062
time_since_last_tx,229.1511993408203
age,191.47714233398438
rolling_count_7d,191.47328186035156
rolling_amt_sum_1h,183.63172912597656
rolling_amt_mean_1h,156.80087280273438
dow,150.2384033203125
velocity_kmh,138.42356872558594
rolling_amt_sum_7d,135.0725860595703
dist_consecutive_km,113.55242156982422
te_state,97.98109436035156
